targeting,description,group
cytosolic,AlaRS,OG0004628
cytosolic,AsnRS,OG0002400
cytosolic,AspRS,OG0004908
cytosolic,CysRS,OG0001799cytosolic
cytosolic,GlnRS,OG0005212
cytosolic,GluRS,OG0005132
cytosolic,GlyRS,OG0003744
cytosolic,HisRS,OG0002882
cytosolic,IleRS,OG0004715
cytosolic,LeuRS,OG0003097
cytosolic,LysRS,OG0003807
cytosolic,MetRS,OG0002972
cytosolic,PheRSA,OG0004925
cytosolic,PheRSB,OG0005999
cytosolic,ProRS,OG0004079
cytosolic,SerRS,OG0007226
cytosolic,ThrRS,OG0007326
cytosolic,TrpRS,OG0004377
cytosolic,TyrRS,OG0004333
cytosolic,ValRS,OG0003734
